   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
  89     9.368976     9.368976    -4.221154     2.305272   -10.597657    -9.180381    -9.153913     9.342508     9.342508
  90     9.368976     9.368976    -4.221154     2.305272   -10.596754    -9.180381    -9.153913     9.342508     9.342508
  91     9.555597     9.555597    -6.028641     3.226791   -11.804287   -10.657847   -10.932073     9.829823     9.829823
  92     9.555597     9.555597    -6.028641     3.226791   -11.802532   -10.657847   -10.932073     9.829823     9.829823
  93    10.517674    10.517674    -5.432031     2.972900   -10.373224    -9.783693    -9.561728    10.295709    10.295709
  94    10.517674    10.517674    -5.432031     2.972902   -10.400135    -9.783693    -9.561728    10.295709    10.295709
  95    10.517684    10.517684    -5.431980     2.972949   -10.401238    -9.783693    -9.561690    10.295680    10.295680
  96    10.517684    10.517684    -5.431980     2.972948   -10.373528    -9.783693    -9.561690    10.295680    10.295680
  97    10.517810    10.517810    -5.428875     2.970310   -10.386142    -9.782949    -9.561270    10.296131    10.296131
  98    10.517810    10.517810    -5.428875     2.970310   -10.386665    -9.782949    -9.561270    10.296131    10.296131
  99    10.517820    10.517820    -5.428843     2.970192   -10.391226    -9.782949    -9.561232    10.296103    10.296103
 100    10.517820    10.517820    -5.428843     2.970190   -10.381002    -9.782949    -9.561232    10.296103    10.296103
 101    11.226063    11.226063    -5.170556     2.893062   -10.848755    -9.847239   -10.045247    11.424072    11.424072
 102    11.226063    11.226063    -5.170556     2.893061   -10.850511    -9.847239   -10.045247    11.424072    11.424072
 103    11.226161    11.226161    -5.170559     2.893065   -10.852386    -9.847319   -10.045136    11.423978    11.423978
 104    11.226161    11.226161    -5.170559     2.893066   -10.846979    -9.847319   -10.045136    11.423978    11.423978
 105    11.242741    11.242741    -5.157650     2.884500   -10.847823    -9.841008   -10.039655    11.441388    11.441388
 106    11.242741    11.242741    -5.157650     2.884499   -10.840016    -9.841008   -10.039655    11.441388    11.441388
 107    11.242839    11.242839    -5.157618     2.884480   -10.845299    -9.840989   -10.039543    11.441393    11.441393
 108    11.242839    11.242839    -5.157618     2.884480   -10.842493    -9.840989   -10.039543    11.441393    11.441393
 109    12.003046    12.003046    -6.089915     3.311205   -10.679949   -10.475195   -10.579772    12.107623    12.107623
 110    12.003046    12.003046    -6.089915     3.311205   -10.679997   -10.475195   -10.579772    12.107623    12.107623
